Provinsi / Kabupaten / Kota,Rata-Rata Lama Sekolah (Tahun)
BUOL,8.38
PARIGI MOUTONG,7.19
TOJO UNA-UNA,7.94
SIGI,8.09
BANGGAI LAUT,8.08
MOROWALI UTARA,8.29
KOTA PALU,11.07
SULAWESI SELATAN,8.01
KEPULAUAN SELAYAR,7.26
BULUKUMBA,7.17
BANTAENG,6.48
JENEPONTO,6.27
TAKALAR,7.02
GOWA,7.37
SINJAI,7.1
MAROS,7.27
PANGKAJENE DAN KEPULAUAN,7.22
BARRU,7.89
BONE,6.73
SOPPENG,7.37
WAJO,6.98
SIDENRENG RAPPANG,7.77
PINRANG,7.89
ENREKANG,8.39
LUWU,7.94
TANA TORAJA,8.26
LUWU UTARA,7.51
LUWU TIMUR,8.21
TORAJA UTARA,7.88
KOTA MAKASSAR,10.9
KOTA PARE-PARE,9.91
KOTA PALOPO,10.19
SULAWESI TENGGARA,8.44
BUTON,7.13
MUNA,7.55
KONAWE,8.9
KOLAKA,8.28
KONAWE SELATAN,7.69
BOMBANA,7.57
WAKATOBI,8.07
KOLAKA UTARA,7.82
BUTON UTARA,8.14
KONAWE UTARA,8.43
KOLAKA TIMUR,8.98
KONAWE KEPULAUAN,6.86
MUNA BARAT,-
BUTON TENGAH,-
BUTON SELATAN,-
KOTA KENDARI,11.41
KOTA BAU-BAU,9.97
GORONTALO,7.52
BOALEMO,6.6
GORONTALO,6.9
POHUWATO,7.04
BONE BOLANGO,7.86
GORONTALO UTARA,6.93
KOTA GORONTALO,10.28
SULAWESI BARAT,7.35
MAJENE,8.51
POLEWALI MANDAR,7.08
MAMASA,7.19
MAMUJU,7.58
MAMUJU UTARA,7.37
MAMUJU TENGAH,6.66
MALUKU,9.2
MALUKU TENGGARA BARAT,8.99
MALUKU TENGGARA,8.93
MALUKU TENGAH,8.9
BURU,7.95
KEPULAUAN ARU,8.31
SERAM BAGIAN BARAT,8.74
SERAM BAGIAN TIMUR,7.95
MALUKU BARAT DAYA,8.11
BURU SELATAN,7.34
KOTA AMBON,11.39
KOTA TUAL,9.96
MALUKU UTARA,8.72
HALMAHERA BARAT,8.03
HALMAHERA TENGAH,8.27
KEPULAUAN SULA,8.58
HALMAHERA SELATAN,7.7
HALMAHERA UTARA,8.46
HALMAHERA TIMUR,7.85
PULAU MOROTAI,7.41
PULAU TALIABU,7.66
KOTA TERNATE,11.24
KOTA TIDORE KEPULAUAN,9.06
PAPUA BARAT,8.53
FAKFAK,9.65
KAIMANA,8.39
TELUK WONDAMA,7.62
TELUK BINTUNI,7.22
MANOKWARI,8.62
SORONG SELATAN,8.1
SORONG,8.19
RAJA AMPAT,7.64
TAMBRAUW,5.83
MAYBRAT,8.64
MANOKWARI SELATAN,7.1
PEGUNUNGAN ARFAK,8.09
KOTA SORONG,11.02
PAPUA,6.87
MERAUKE,9.47
JAYAWIJAYA,5.32
JAYAPURA,9.79
NABIRE,7.33
KEPULAUAN YAPEN,6.76
BIAK NUMFOR,9.67
PANIAI,6.23
PUNCAK JAYA,6.13
MIMIKA,6.94
BOVEN DIGOEL,3.65
MAPPI,4.37
ASMAT,4.44
YAHUKIMO,2.93
PEGUNUNGAN BINTANG,2.62
TOLIKARA,3.48
SARMI,7.02
KEEROM,7.45
WAROPEN,6.56
SUPIORI,8.15
MAMBERAMO RAYA,5.21
NDUGA,2.82
LANNY JAYA,3.75
MAMBERAMO TENGAH,2.94
YALIMO,2.85
PUNCAK,2.86
DOGIYAI,4.17
INTAN JAYA,2.3
DEIYAI,2.97
KOTA JAYAPURA,11.07
INDONESIA,8.14
